"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Jan 26, 2023","3.7148","3.7170","3.7247","3.7137","-0.03%"
"Jan 25, 2023","3.7159","3.7203","3.7565","3.6908","-0.24%"
"Jan 24, 2023","3.7247","3.8000","3.8280","3.7190","-2.03%"
"Jan 23, 2023","3.8019","3.7840","3.8350","3.7610","0.47%"
"Jan 22, 2023","3.7842","3.7831","3.7842","3.7831","0.29%"
"Jan 20, 2023","3.7732","3.6970","3.7960","3.6900","2.17%"
"Jan 19, 2023","3.6931","3.6650","3.7200","3.6100","0.92%"
"Jan 18, 2023","3.6595","3.8160","3.8370","3.6520","-4.23%"
"Jan 17, 2023","3.8210","3.8130","3.8650","3.7850","0.18%"
"Jan 16, 2023","3.8143","3.8121","3.8165","3.8121","1.00%"
"Jan 13, 2023","3.7766","3.7490","3.8000","3.7140","0.82%"
"Jan 12, 2023","3.7458","3.8460","3.8840","3.7200","-2.37%"
"Jan 11, 2023","3.8367","3.9120","3.9170","3.8190","-1.98%"
"Jan 10, 2023","3.9142","3.8330","3.9380","3.8160","2.53%"
"Jan 09, 2023","3.8178","3.8870","3.9110","3.8020","-0.93%"
"Jan 08, 2023","3.8535","3.8535","3.8535","3.8535","0.00%"
"Jan 06, 2023","3.8535","3.9760","4.0120","3.8420","-2.93%"
"Jan 05, 2023","3.9699","3.9730","4.0430","3.9530","0.00%"
"Jan 04, 2023","3.9699","4.0380","4.0400","3.9300","-1.34%"
"Jan 03, 2023","4.0239","4.1110","4.1840","3.9960","-2.98%"
"Jan 02, 2023","4.1473","4.1473","4.1473","4.1473","-0.03%"
"Dec 30, 2022","4.1485","4.0850","4.1670","4.0830","1.72%"
"Dec 29, 2022","4.0783","4.1300","4.1520","4.0690","-1.50%"
"Dec 28, 2022","4.1402","4.1030","4.1530","4.0650","0.77%"
"Dec 27, 2022","4.1086","4.0020","4.1160","3.9730","2.63%"
"Dec 26, 2022","4.0032","4.0032","4.0032","4.0032","-0.08%"
"Dec 23, 2022","4.0066","3.9350","4.0090","3.9340","1.85%"
"Dec 22, 2022","3.9337","3.9090","3.9420","3.8650","0.43%"
"Dec 21, 2022","3.9167","3.9590","3.9740","3.8830","-0.72%"
"Dec 20, 2022","3.9450","3.8370","3.9610","3.8300","3.05%"
"Dec 19, 2022","3.8282","3.7640","3.8540","3.7500","1.73%"
"Dec 18, 2022","3.7630","3.7421","3.7641","3.7421","0.56%"
"Dec 16, 2022","3.7421","3.7050","3.7950","3.7020","1.32%"
"Dec 15, 2022","3.6932","3.7440","3.7630","3.6520","-1.08%"
"Dec 14, 2022","3.7335","3.7440","3.7880","3.7020","-0.32%"
"Dec 13, 2022","3.7456","3.8160","3.8190","3.6620","-2.05%"
"Dec 12, 2022","3.8239","3.8150","3.8450","3.7420","0.20%"
"Dec 11, 2022","3.8161","3.8095","3.8161","3.8095","-0.20%"
"Dec 09, 2022","3.8239","3.6940","3.8360","3.6600","3.53%"
"Dec 08, 2022","3.6934","3.6720","3.7260","3.6500","0.80%"
"Dec 07, 2022","3.6642","3.7910","3.8050","3.6440","-3.11%"
"Dec 06, 2022","3.7820","3.8170","3.8350","3.7540","-0.81%"
"Dec 05, 2022","3.8130","3.7930","3.8780","3.7630","0.55%"
"Dec 04, 2022","3.7920","3.7964","3.7964","3.7920","0.64%"
"Dec 02, 2022","3.7678","3.8110","3.9110","3.7520","-1.04%"
"Dec 01, 2022","3.8075","3.9460","3.9600","3.8010","-3.24%"
"Nov 30, 2022","3.9350","4.0210","4.0610","3.9190","-2.13%"
"Nov 29, 2022","4.0205","3.9660","4.0320","3.9250","1.76%"
"Nov 28, 2022","3.9509","3.9780","3.9910","3.9020","-0.74%"
"Nov 27, 2022","3.9805","3.9919","3.9919","3.9805","0.12%"
"Nov 25, 2022","3.9759","3.9500","4.0140","3.9420","0.75%"
"Nov 24, 2022","3.9464","3.9464","3.9464","3.9464","-0.51%"
"Nov 23, 2022","3.9668","4.0640","4.0750","3.9630","-2.34%"
"Nov 22, 2022","4.0620","4.1430","4.1470","4.0450","-1.91%"
"Nov 21, 2022","4.1412","4.1460","4.1560","4.0840","-0.08%"
"Nov 20, 2022","4.1447","4.1623","4.1623","4.1447","-0.20%"
"Nov 18, 2022","4.1529","4.1200","4.1580","4.0680","1.23%"
"Nov 17, 2022","4.1026","4.0520","4.1480","4.0300","0.62%"
"Nov 16, 2022","4.0775","4.1950","4.2420","4.0580","-2.91%"
"Nov 15, 2022","4.1998","4.2730","4.2900","4.1720","-1.54%"
"Nov 14, 2022","4.2657","4.2950","4.3210","4.2500","-0.71%"
"Nov 13, 2022","4.2963","4.3001","4.3001","4.2963","1.42%"
"Nov 10, 2022","4.2363","4.4740","4.4920","4.2330","-5.43%"
"Nov 09, 2022","4.4797","4.4910","4.5410","4.4510","-0.23%"
"Nov 08, 2022","4.4902","4.5720","4.5880","4.4760","-1.58%"
"Nov 07, 2022","4.5622","4.4990","4.5770","4.4600","1.37%"
"Nov 06, 2022","4.5006","4.4953","4.5006","4.4953","-0.12%"
