"Date","Price","Open","High","Low","Change %"
"Jan 26, 2023","4.5621","4.5697","4.5697","4.5621","-0.11%"
"Jan 25, 2023","4.5672","4.5882","4.5952","4.5238","0.05%"
"Jan 24, 2023","4.5650","4.6020","4.7010","4.5630","-0.07%"
"Jan 23, 2023","4.5680","4.6090","4.6090","4.5580","-0.74%"
"Jan 22, 2023","4.6021","4.6021","4.6021","4.6021","0.97%"
"Jan 20, 2023","4.5580","4.6010","4.6010","4.5550","2.68%"
"Jan 19, 2023","4.4390","4.4750","4.5030","4.4390","-0.40%"
"Jan 18, 2023","4.4570","4.4890","4.5210","4.4550","-0.42%"
"Jan 17, 2023","4.4760","4.4870","4.5550","4.4500","-0.29%"
"Jan 16, 2023","4.4892","4.4892","4.4892","4.4892","0.97%"
"Jan 13, 2023","4.4460","4.4820","4.4870","4.4430","4.66%"
"Jan 12, 2023","4.2480","4.2660","4.2960","4.2270","-0.07%"
"Jan 11, 2023","4.2510","4.2590","4.2890","4.2280","-0.42%"
"Jan 10, 2023","4.2690","4.2820","4.3360","4.2460","0.64%"
"Jan 09, 2023","4.2420","4.1860","4.2950","4.1860","0.97%"
"Jan 08, 2023","4.2013","4.2013","4.2013","4.2013","-0.18%"
"Jan 06, 2023","4.2090","4.2100","4.2320","4.1780","1.72%"
"Jan 05, 2023","4.1380","4.0700","4.1480","4.0470","2.05%"
"Jan 04, 2023","4.0550","4.0700","4.1160","4.0240","0.82%"
"Jan 03, 2023","4.0220","4.0320","4.0830","4.0090","0.12%"
"Jan 02, 2023","4.0172","4.0172","4.0172","4.0172","0.33%"
"Dec 30, 2022","4.0040","3.9630","4.0760","3.9510","10.82%"
"Dec 29, 2022","3.6130","3.6490","3.7760","3.5450","-0.44%"
"Dec 28, 2022","3.6290","3.7060","3.7180","3.6240","-1.47%"
"Dec 27, 2022","3.6830","3.7390","3.8280","3.6700","-1.44%"
"Dec 26, 2022","3.7367","3.7316","3.7367","3.7316","0.89%"
"Dec 23, 2022","3.7036","3.7280","3.7290","3.6580","-0.71%"
"Dec 22, 2022","3.7300","3.7460","3.7970","3.6720","-0.16%"
"Dec 21, 2022","3.7360","3.7870","3.7870","3.6700","-0.88%"
"Dec 20, 2022","3.7690","3.8640","3.8740","3.7410","-1.75%"
"Dec 19, 2022","3.8360","3.8750","3.9660","3.8230","0.19%"
"Dec 18, 2022","3.8289","3.8340","3.8340","3.8289","-0.32%"
"Dec 16, 2022","3.8410","3.8790","3.8790","3.8320","0.05%"
"Dec 15, 2022","3.8390","3.8280","3.8990","3.7480","1.03%"
"Dec 14, 2022","3.8000","3.8560","3.8610","3.7720","0.26%"
"Dec 13, 2022","3.7900","3.7800","3.8380","3.7290","1.28%"
"Dec 12, 2022","3.7420","3.7320","3.7650","3.7010","-0.14%"
"Dec 11, 2022","3.7473","3.7473","3.7473","3.7473","0.54%"
"Dec 09, 2022","3.7270","3.6770","3.7570","3.6550","1.61%"
"Dec 08, 2022","3.6680","3.6340","3.7130","3.4990","-0.24%"
"Dec 07, 2022","3.6770","3.7670","3.7720","3.6440","-1.66%"
"Dec 06, 2022","3.7390","3.8410","3.8660","3.7310","-1.76%"
"Dec 05, 2022","3.8060","3.8290","3.8460","3.7880","-0.99%"
"Dec 04, 2022","3.8442","3.8442","3.8442","3.8442","0.87%"
"Dec 02, 2022","3.8110","3.9600","3.9670","3.8030","-3.30%"
"Dec 01, 2022","3.9410","3.9760","3.9850","3.8580","-0.48%"
"Nov 30, 2022","3.9600","4.0040","4.0400","3.9450","-0.65%"
"Nov 29, 2022","3.9860","4.0400","4.0450","3.9780","-0.90%"
"Nov 28, 2022","4.0220","4.0320","4.0860","4.0220","-1.39%"
"Nov 27, 2022","4.0789","4.0789","4.0789","4.0789","0.84%"
"Nov 25, 2022","4.0450","4.0680","4.0740","4.0380","-0.61%"
"Nov 24, 2022","4.0700","4.0394","4.0700","4.0394","5.50%"
"Nov 23, 2022","3.8580","3.8940","3.9200","3.8350","-0.16%"
"Nov 22, 2022","3.8640","3.8870","3.9200","3.8430","-0.26%"
"Nov 21, 2022","3.8740","3.8850","3.9130","3.8590","-0.61%"
"Nov 20, 2022","3.8978","3.8544","3.8978","3.8544","1.06%"
"Nov 18, 2022","3.8570","3.8990","3.9000","3.8520","2.55%"
