"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Jan 25, 2023","4.6700","4.7053","4.7298","4.6564","-0.32%"
"Jan 24, 2023","4.6850","4.7470","4.7500","4.6800","-0.59%"
"Jan 23, 2023","4.7130","4.7320","4.7420","4.6990","-0.23%"
"Jan 22, 2023","4.7239","4.7293","4.7293","4.7239","0.64%"
"Jan 20, 2023","4.6940","4.6900","4.7100","4.6830","0.36%"
"Jan 19, 2023","4.6770","4.6610","4.7060","4.6470","0.58%"
"Jan 18, 2023","4.6500","4.6990","4.7290","4.6440","-0.70%"
"Jan 17, 2023","4.6830","4.7100","4.7450","4.6800","-0.98%"
"Jan 16, 2023","4.7293","4.7266","4.7293","4.7266","0.62%"
"Jan 13, 2023","4.7000","4.6960","4.7190","4.6750","0.38%"
"Jan 12, 2023","4.6820","4.7670","4.7990","4.6610","-1.16%"
"Jan 11, 2023","4.7370","4.7810","4.7840","4.7320","-0.40%"
"Jan 10, 2023","4.7560","4.7350","4.7780","4.6990","1.19%"
"Jan 09, 2023","4.7000","4.7470","4.7487","4.6860","-0.52%"
"Jan 08, 2023","4.7248","4.7248","4.7248","4.7248","0.23%"
"Jan 06, 2023","4.7140","4.8130","4.8500","4.6920","-1.22%"
"Jan 05, 2023","4.7720","4.7020","4.8020","4.6990","1.32%"
"Jan 04, 2023","4.7100","4.7540","4.7590","4.6750","-0.06%"
"Jan 03, 2023","4.7130","4.7650","4.7870","4.6860","-0.65%"
"Jan 02, 2023","4.7438","4.7438","4.7438","4.7438","0.23%"
"Dec 30, 2022","4.7330","4.7380","4.7550","4.7030","0.90%"
"Dec 29, 2022","4.6910","4.7430","4.7540","4.6860","-0.26%"
"Dec 28, 2022","4.7030","4.7790","4.7950","4.6970","-0.08%"
"Dec 27, 2022","4.7070","4.7180","4.8260","4.6690","0.34%"
"Dec 26, 2022","4.6910","4.6883","4.6910","4.6883","0.58%"
"Dec 23, 2022","4.6640","4.7040","4.7150","4.6370","0.09%"
"Dec 22, 2022","4.6600","4.6340","4.6660","4.5870","1.15%"
"Dec 21, 2022","4.6070","4.6830","4.7180","4.5990","-0.75%"
"Dec 20, 2022","4.6420","4.7130","4.7130","4.6370","-0.24%"
"Dec 19, 2022","4.6530","4.6050","4.7100","4.6050","1.10%"
"Dec 18, 2022","4.6025","4.6187","4.6187","4.6025","-0.12%"
"Dec 16, 2022","4.6080","4.7200","4.7300","4.6020","-1.07%"
"Dec 15, 2022","4.6580","4.6750","4.7340","4.6340","0.11%"
"Dec 14, 2022","4.6530","4.6990","4.7290","4.5800","0.28%"
"Dec 13, 2022","4.6400","4.7980","4.8190","4.6020","-2.52%"
"Dec 12, 2022","4.7600","4.7470","4.7840","4.7080","0.11%"
"Dec 11, 2022","4.7546","4.7519","4.7546","4.7519","0.99%"
"Dec 09, 2022","4.7080","4.7370","4.7380","4.6730","0.30%"
