"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Jan 26, 2023","4.7136","4.7110","4.7136","4.7110","-0.17%"
"Jan 25, 2023","4.7214","4.7369","4.7395","4.6747","0.56%"
"Jan 24, 2023","4.6950","4.6990","4.7430","4.6810","0.56%"
"Jan 23, 2023","4.6690","4.7190","4.7520","4.6610","-0.79%"
"Jan 22, 2023","4.7060","4.7034","4.7060","4.7034","0.94%"
"Jan 20, 2023","4.6620","4.7030","4.7160","4.6540","-0.09%"
"Jan 19, 2023","4.6660","4.7030","4.7360","4.6590","0.32%"
"Jan 18, 2023","4.6510","4.7080","4.7080","4.6490","0.74%"
"Jan 17, 2023","4.6170","4.6610","4.6740","4.6090","-0.95%"
"Jan 16, 2023","4.6613","4.6613","4.6613","4.6613","0.89%"
"Jan 13, 2023","4.6200","4.6430","4.6540","4.6040","0.24%"
"Jan 12, 2023","4.6090","4.7160","4.7440","4.5990","-1.45%"
"Jan 11, 2023","4.6770","4.6950","4.7060","4.6670","-0.23%"
"Jan 10, 2023","4.6880","4.6890","4.7170","4.6620","1.58%"
"Jan 09, 2023","4.6150","4.9230","4.9260","4.6090","-0.40%"
"Jan 08, 2023","4.6334","4.6334","4.6334","4.6334","0.16%"
"Jan 06, 2023","4.6260","4.6970","4.6970","4.6130","0.09%"
"Jan 05, 2023","4.6220","4.5320","4.6400","4.5160","2.35%"
"Jan 04, 2023","4.5160","4.5480","4.5550","4.4910","3.27%"
"Jan 03, 2023","4.3730","4.4040","4.4300","4.3630","-0.49%"
"Jan 02, 2023","4.3946","4.3946","4.3946","4.3946","-0.24%"
"Dec 30, 2022","4.4050","4.4620","4.4700","4.3710","-0.41%"
"Dec 29, 2022","4.4230","4.4930","4.4980","4.4050","-0.76%"
"Dec 28, 2022","4.4570","4.4860","4.4910","4.4440","3.39%"
"Dec 27, 2022","4.3110","4.3660","4.3890","4.2980","-1.32%"
"Dec 26, 2022","4.3687","4.3662","4.3687","4.3662","0.78%"
"Dec 23, 2022","4.3351","4.3660","4.3660","4.3120","0.07%"
"Dec 22, 2022","4.3320","4.3640","4.3660","4.3170","0.05%"
"Dec 21, 2022","4.3300","4.3640","4.3660","4.3200","-0.60%"
"Dec 20, 2022","4.3560","4.3930","4.4190","4.3490","1.70%"
"Dec 19, 2022","4.2830","4.3380","4.3450","4.2710","-0.80%"
"Dec 18, 2022","4.3175","4.3123","4.3175","4.3123","0.59%"
"Dec 16, 2022","4.2920","4.3760","4.3810","4.2920","-0.81%"
"Dec 15, 2022","4.3270","4.3300","4.3870","4.3190","-0.41%"
"Dec 14, 2022","4.3450","4.4440","4.4440","4.3300","-0.30%"
"Dec 13, 2022","4.3580","4.4270","4.4340","4.3490","1.61%"
"Dec 12, 2022","4.2890","4.3310","4.3320","4.2600","-1.02%"
"Dec 11, 2022","4.3330","4.3305","4.3330","4.3305","0.91%"
"Dec 09, 2022","4.2940","4.3090","4.3180","4.2580","0.56%"
"Dec 08, 2022","4.2700","4.3430","4.3450","4.2650","-0.72%"
"Dec 07, 2022","4.3010","4.3710","4.3770","4.2940","-1.60%"
"Dec 06, 2022","4.3710","4.3410","4.4130","4.3410","1.37%"
"Dec 05, 2022","4.3120","4.3540","4.3560","4.2890","-1.02%"
"Dec 04, 2022","4.3563","4.3563","4.3563","4.3563","0.84%"
"Dec 02, 2022","4.3200","4.3470","4.3530","4.2890","0.09%"
"Dec 01, 2022","4.3160","4.4050","4.4050","4.3040","-1.10%"
"Nov 30, 2022","4.3640","4.4180","4.4210","4.3530","-0.46%"
"Nov 29, 2022","4.3840","4.3880","4.4290","4.3740","-0.41%"
"Nov 28, 2022","4.4020","4.4050","4.4100","4.2760","-0.20%"
"Nov 27, 2022","4.4107","4.3589","4.4107","4.3589","2.46%"
"Nov 25, 2022","4.3050","4.3350","4.3540","4.2810","-1.27%"
"Nov 24, 2022","4.3605","4.3242","4.3605","4.3242","1.08%"
"Nov 23, 2022","4.3140","4.3190","4.3710","4.3090","0.07%"
"Nov 22, 2022","4.3110","4.3150","4.3700","4.2940","2.25%"
"Nov 21, 2022","4.2160","4.2890","4.3120","4.2010","-1.76%"
"Nov 20, 2022","4.2916","4.2710","4.2916","4.2710","0.98%"
"Nov 18, 2022","4.2500","4.2710","4.2810","4.2320","0.38%"
"Nov 17, 2022","4.2340","4.2750","4.2930","4.2280","0.05%"
"Nov 16, 2022","4.2320","4.2390","4.2420","4.2210","-0.12%"
"Nov 15, 2022","4.2370","4.2860","4.2860","4.2240","1.34%"
"Nov 14, 2022","4.1810","4.2140","4.2290","4.1720","0.07%"
"Nov 13, 2022","4.1779","4.1779","4.1779","4.1779","-0.43%"
"Nov 10, 2022","4.1960","4.2420","4.2680","4.1600","-0.17%"
"Nov 09, 2022","4.2030","4.2320","4.2600","4.1930","0.07%"
"Nov 08, 2022","4.2000","4.2350","4.2450","4.1910","2.69%"
"Nov 07, 2022","4.0900","4.1600","4.1600","4.0790","-2.16%"
"Nov 06, 2022","4.1804","4.1262","4.1804","4.1262","1.52%"
"Nov 04, 2022","4.1180","4.2000","4.2040","4.1160","-0.41%"
"Nov 03, 2022","4.1350","4.1380","4.2050","4.1280","-0.07%"
"Nov 02, 2022","4.1380","4.1980","4.2010","4.1230","-0.39%"
"Nov 01, 2022","4.1540","4.2190","4.2190","4.1390","1.56%"
"Oct 31, 2022","4.0900","4.1160","4.1520","4.0820","-0.69%"
"Oct 30, 2022","4.1184","4.1210","4.1210","4.1184","0.89%"
"Oct 28, 2022","4.0820","4.0760","4.1000","4.0460","0.86%"
"Oct 27, 2022","4.0470","4.0740","4.0760","4.0270","0.37%"
"Oct 26, 2022","4.0320","4.1070","4.1070","4.0250","-0.84%"
"Oct 25, 2022","4.0660","4.1210","4.1240","4.0610","1.14%"
"Oct 24, 2022","4.0200","4.0300","4.0510","3.9890","-0.32%"
"Oct 23, 2022","4.0331","4.0409","4.0409","4.0331","1.03%"
"Oct 21, 2022","3.9920","4.0370","4.0510","3.9790","-0.22%"
"Oct 20, 2022","4.0010","4.0400","4.0500","3.9850","0.13%"
"Oct 19, 2022","3.9960","3.9780","4.0690","3.9310","1.58%"
"Oct 18, 2022","3.9340","3.9530","3.9860","3.9090","4.07%"
"Oct 17, 2022","3.7800","3.7650","3.8180","3.7130","0.34%"
"Oct 16, 2022","3.7672","3.7672","3.7672","3.7672","1.19%"
"Oct 14, 2022","3.7230","3.7350","3.7900","3.6970","0.73%"
"Oct 13, 2022","3.6960","3.6630","3.7320","3.6190","2.04%"
"Oct 12, 2022","3.6220","3.5860","3.6860","3.5860","5.23%"
"Oct 11, 2022","3.4420","3.4240","3.4570","3.3880","0.45%"
"Oct 10, 2022","3.4265","3.3827","3.4265","3.3827","1.44%"
"Oct 07, 2022","3.3780","3.4290","3.4290","3.3750","-0.09%"
"Oct 06, 2022","3.3810","3.4280","3.4330","3.3760","-0.32%"
"Oct 05, 2022","3.3920","3.4020","3.4380","3.3820","-0.09%"
"Oct 04, 2022","3.3950","3.4080","3.4470","3.3900","4.43%"
"Oct 03, 2022","3.2510","3.3030","3.3130","3.2410","-0.96%"
"Oct 02, 2022","3.2826","3.2723","3.2826","3.2723","-0.01%"
"Sep 30, 2022","3.2830","3.3790","3.3860","3.2720","-0.94%"
"Sep 29, 2022","3.3140","3.3660","3.3810","3.3120","-1.78%"
"Sep 28, 2022","3.3740","3.3530","3.3740","3.3250","1.38%"
"Sep 27, 2022","3.3280","3.3670","3.3950","3.3230","1.71%"
"Sep 26, 2022","3.2720","3.2410","3.2850","3.2100","2.08%"
"Sep 25, 2022","3.2054","3.2054","3.2054","3.2054","0.33%"
"Sep 23, 2022","3.1950","3.2700","3.3190","3.1950","-1.14%"
"Sep 22, 2022","3.2320","3.3120","3.3300","3.2290","-1.82%"
"Sep 21, 2022","3.2920","3.3480","3.3740","3.2710","-1.67%"
"Sep 20, 2022","3.3480","3.3640","3.3870","3.3250","7.03%"
"Sep 19, 2022","3.1280","3.1670","3.2200","3.1250","-1.23%"
"Sep 18, 2022","3.1668","3.1668","3.1668","3.1668","-0.01%"
"Sep 16, 2022","3.1670","3.2190","3.2260","3.1490","-0.60%"
"Sep 15, 2022","3.1860","3.2120","3.2630","3.1810","-0.81%"
"Sep 14, 2022","3.2120","3.2890","3.3430","3.2040","-1.56%"
"Sep 13, 2022","3.2630","3.1480","3.3250","3.1420","6.25%"
"Sep 12, 2022","3.0710","3.0660","3.1070","3.0380","-0.44%"
"Sep 11, 2022","3.0845","3.0845","3.0845","3.0845","1.43%"
"Sep 09, 2022","3.0410","3.0490","3.0790","3.0250","0.40%"
"Sep 08, 2022","3.0290","3.0230","3.0780","3.0210","-0.59%"
"Sep 07, 2022","3.0470","3.0680","3.0930","3.0260","3.82%"
"Sep 06, 2022","2.9350","2.9250","2.9730","2.9190","0.44%"
"Sep 05, 2022","2.9222","2.9043","2.9222","2.9043","0.45%"
"Sep 02, 2022","2.9090","2.9800","3.0150","2.9040","-1.52%"
"Sep 01, 2022","2.9540","2.9670","3.0210","2.9360","0.78%"
"Aug 31, 2022","2.9310","2.9410","2.9950","2.9310","-0.44%"
"Aug 30, 2022","2.9440","3.0240","3.0240","2.9390","2.01%"
"Aug 29, 2022","2.8860","2.8710","2.9410","2.8400","0.42%"
"Aug 28, 2022","2.8739","2.8405","2.8739","2.8405","1.26%"
"Aug 26, 2022","2.8380","2.8490","2.8710","2.8050","1.36%"
"Aug 25, 2022","2.8000","2.8260","2.8570","2.7790","0.72%"
"Aug 24, 2022","2.7800","2.8310","2.8360","2.7590","0.40%"
"Aug 23, 2022","2.7690","2.7880","2.8340","2.7410","0.51%"
"Aug 22, 2022","2.7550","2.7220","2.7660","2.6730","1.11%"
"Aug 21, 2022","2.7247","2.7118","2.7247","2.7118","1.44%"
"Aug 19, 2022","2.6860","2.6740","2.7040","2.6680","0.64%"
"Aug 18, 2022","2.6690","2.6820","2.6920","2.6350","1.06%"
"Aug 17, 2022","2.6410","2.7030","2.7460","2.6410","-0.75%"
"Aug 16, 2022","2.6610","2.6640","2.7130","2.6590","2.82%"
"Aug 15, 2022","2.5880","2.5890","2.6270","2.5500","0.07%"
"Aug 14, 2022","2.5861","2.5861","2.5861","2.5861","0.90%"
"Aug 12, 2022","2.5630","2.5940","2.5970","2.5400","0.20%"
"Aug 11, 2022","2.5580","2.6580","2.6690","2.5250","-1.50%"
"Aug 10, 2022","2.5970","2.6610","2.6820","2.5560","-1.37%"
"Aug 09, 2022","2.6330","2.6490","2.6690","2.6180","4.11%"
"Aug 08, 2022","2.5290","2.5350","2.5630","2.5060","-0.33%"
"Aug 07, 2022","2.5373","2.5399","2.5399","2.5373","0.29%"
"Aug 05, 2022","2.5300","2.4510","2.5580","2.4450","3.56%"
"Aug 04, 2022","2.4430","2.4970","2.5300","2.4350","-1.77%"
"Aug 03, 2022","2.4870","2.5300","2.5480","2.4810","-1.82%"
"Aug 02, 2022","2.5330","2.5050","2.5460","2.4840","6.16%"
"Aug 01, 2022","2.3860","2.4240","2.4400","2.3470","0.32%"
"Jul 31, 2022","2.3783","2.3732","2.3783","2.3732","0.22%"
"Jul 29, 2022","2.3730","2.4170","2.4370","2.3710","-0.54%"
"Jul 28, 2022","2.3860","2.4920","2.4970","2.3660","-2.65%"
"Jul 27, 2022","2.4510","2.5710","2.5710","2.4100","-3.12%"
"Jul 26, 2022","2.5300","2.5560","2.6050","2.5150","1.77%"
"Jul 25, 2022","2.4860","2.4680","2.5320","2.4450","0.83%"
"Jul 24, 2022","2.4655","2.4629","2.4655","2.4629","0.71%"
"Jul 22, 2022","2.4480","2.4840","2.4910","2.4120","-0.41%"
"Jul 21, 2022","2.4580","2.5040","2.5120","2.4400","-1.36%"
"Jul 20, 2022","2.4920","2.5330","2.5480","2.4640","-0.52%"
"Jul 19, 2022","2.5050","2.5330","2.5330","2.4690","5.70%"
"Jul 18, 2022","2.3700","2.3140","2.4500","2.3140","-1.41%"
"Jul 17, 2022","2.4039","2.4039","2.4039","2.4039","2.95%"
"Jul 15, 2022","2.3350","2.4020","2.4300","2.3250","-2.67%"
"Jul 14, 2022","2.3990","2.4120","2.5580","2.3810","0.97%"
"Jul 13, 2022","2.3760","2.2250","2.4510","2.1970","7.76%"
"Jul 12, 2022","2.2050","2.1640","2.2120","2.1590","6.99%"
"Jul 11, 2022","2.0610","1.9300","2.0890","1.9220","7.20%"
"Jul 10, 2022","1.9225","1.9557","1.9557","1.9225","-2.06%"
"Jul 08, 2022","1.9630","1.9250","1.9760","1.9250","0.77%"
"Jul 07, 2022","1.9480","1.9280","1.9740","1.9020","3.34%"
"Jul 06, 2022","1.8850","1.9180","1.9230","1.8770","8.90%"
"Jul 05, 2022","1.7310","1.7410","1.7640","1.7050","-1.29%"
"Jul 04, 2022","1.7536","1.6846","1.7536","1.6846","2.55%"
"Jul 01, 2022","1.7100","1.7110","1.7330","1.6670","0.59%"
"Jun 30, 2022","1.7000","1.7800","1.8150","1.6900","-3.24%"
"Jun 29, 2022","1.7570","1.8130","1.8150","1.7570","-1.29%"
"Jun 28, 2022","1.7800","1.7770","1.8280","1.7770","5.64%"
"Jun 27, 2022","1.6850","1.6920","1.7310","1.6670","-0.58%"
"Jun 26, 2022","1.6949","1.6924","1.6949","1.6924","0.47%"
"Jun 24, 2022","1.6870","1.6210","1.7130","1.6210","3.24%"
"Jun 23, 2022","1.6340","1.6240","1.6670","1.5850","2.57%"
"Jun 22, 2022","1.5930","1.7080","1.7080","1.5750","0.82%"
"Jun 21, 2022","1.5800","1.6560","1.6770","1.5640","-4.18%"
"Jun 20, 2022","1.6489","1.6208","1.6642","1.6208","3.51%"
"Jun 17, 2022","1.5930","1.6240","1.6590","1.5700","0.50%"
"Jun 16, 2022","1.5850","1.6830","1.7360","1.5490","-9.79%"
"Jun 15, 2022","1.7570","1.8050","1.8740","1.6370","-2.12%"
"Jun 14, 2022","1.7950","1.7620","1.8410","1.7180","15.51%"
"Jun 13, 2022","1.5540","1.3630","1.6720","1.3630","14.22%"
"Jun 12, 2022","1.3605","1.3503","1.3605","1.3503","-0.18%"
"Jun 10, 2022","1.3630","1.3070","1.3760","1.2740","6.99%"
"Jun 09, 2022","1.2740","1.2920","1.3020","1.2690","0.79%"
"Jun 08, 2022","1.2640","1.2690","1.2820","1.2560","0.64%"
"Jun 07, 2022","1.2560","1.2590","1.2740","1.2480","2.95%"
"Jun 06, 2022","1.2200","1.2050","1.2230","1.1770","0.83%"
"Jun 05, 2022","1.2100","1.1973","1.2100","1.1973","2.11%"
"Jun 03, 2022","1.1850","1.1770","1.2410","1.1490","3.40%"
"Jun 02, 2022","1.1460","1.1620","1.1850","1.1280","1.33%"
"Jun 01, 2022","1.1310","1.1690","1.1690","1.1230","6.00%"
"May 31, 2022","1.0670","1.0770","1.1050","1.0620","-1.20%"
"May 30, 2022","1.0800","1.0749","1.0800","1.0749","-0.74%"
"May 27, 2022","1.0880","1.0750","1.0930","1.0670","3.13%"
"May 26, 2022","1.0550","1.0900","1.1080","1.0520","-1.68%"
"May 25, 2022","1.0730","1.0900","1.0900","1.0570","0.75%"
"May 24, 2022","1.0650","1.0900","1.1080","1.0600","3.50%"
"May 23, 2022","1.0290","1.0570","1.0820","1.0240","-2.89%"
"May 22, 2022","1.0596","1.0418","1.0596","1.0291","2.48%"
"May 20, 2022","1.0340","1.0700","1.0950","1.0260","-1.24%"
"May 19, 2022","1.0470","1.0550","1.0950","1.0290","0.77%"
"May 18, 2022","1.0390","1.0670","1.0880","1.0290","-2.90%"
"May 17, 2022","1.0700","1.0730","1.0880","1.0500","4.19%"
"May 16, 2022","1.0270","1.0160","1.0600","0.9910","1.81%"
"May 15, 2022","1.0087","0.9960","1.0087","0.9960","2.10%"
"May 13, 2022","0.9880","0.9810","1.0160","0.9480","5.11%"
"May 12, 2022","0.9400","0.9450","0.9680","0.9100","3.98%"
"May 11, 2022","0.9040","0.9380","0.9450","0.8920","-0.33%"
"May 10, 2022","0.9070","0.9450","0.9450","0.8990","8.88%"
"May 09, 2022","0.8330","0.8380","0.8690","0.8200","-1.21%"
"May 08, 2022","0.8432","0.8432","0.8432","0.8432","-0.57%"
"May 06, 2022","0.8480","0.8280","0.8890","0.8180","-0.35%"
"May 05, 2022","0.8510","0.8840","0.9200","0.8310","-7.70%"
"May 04, 2022","0.9220","0.9250","0.9600","0.8710","-0.32%"
"May 03, 2022","0.9250","0.9250","0.9680","0.9120","15.62%"
"May 02, 2022","0.8000","0.8940","0.8970","0.7970","-10.78%"
