"Date","Price","Open","High","Low","Change %"
"Jan 26, 2023","3.5241","3.5275","3.5361","3.5241","-0.05%"
"Jan 25, 2023","3.5258","3.5749","3.5956","3.5258","-1.37%"
"Jan 24, 2023","3.5749","3.6170","3.6600","3.5680","-1.29%"
"Jan 23, 2023","3.6218","3.5670","3.6340","3.5390","1.50%"
"Jan 22, 2023","3.5683","3.5631","3.5683","3.5631","0.10%"
"Jan 20, 2023","3.5649","3.4900","3.5940","3.4850","2.25%"
"Jan 19, 2023","3.4863","3.4420","3.5070","3.3860","1.39%"
"Jan 18, 2023","3.4385","3.6110","3.6330","3.4280","-4.99%"
"Jan 17, 2023","3.6192","3.6190","3.6710","3.5760","-0.00%"
"Jan 16, 2023","3.6193","3.6159","3.6193","3.6159","0.62%"
"Jan 13, 2023","3.5969","3.5370","3.6180","3.5020","1.68%"
"Jan 12, 2023","3.5374","3.6680","3.7410","3.5150","-3.39%"
"Jan 11, 2023","3.6614","3.7170","3.7240","3.6480","-1.67%"
"Jan 10, 2023","3.7237","3.6720","3.7600","3.6530","1.55%"
"Jan 09, 2023","3.6668","3.7170","3.7430","3.6340","-1.03%"
"Jan 08, 2023","3.7049","3.7049","3.7049","3.7049","0.00%"
"Jan 06, 2023","3.7049","3.9220","3.9600","3.6940","-5.49%"
"Jan 05, 2023","3.9201","3.8560","3.9780","3.8520","1.94%"
"Jan 04, 2023","3.8454","3.9060","3.9110","3.8190","-1.56%"
"Jan 03, 2023","3.9062","3.9640","3.9740","3.8730","-2.31%"
"Jan 02, 2023","3.9986","3.9986","3.9986","3.9986","-0.04%"
"Dec 30, 2022","4.0004","3.9460","4.0350","3.9430","1.42%"
"Dec 29, 2022","3.9445","3.9710","3.9830","3.9340","-0.72%"
"Dec 28, 2022","3.9732","3.9450","3.9870","3.9110","0.72%"
"Dec 27, 2022","3.9449","3.8590","3.9680","3.8480","2.28%"
"Dec 26, 2022","3.8569","3.8622","3.8622","3.8569","-0.14%"
"Dec 23, 2022","3.8622","3.8030","3.8750","3.7960","1.47%"
"Dec 22, 2022","3.8063","3.7730","3.8100","3.7310","0.74%"
"Dec 21, 2022","3.7784","3.7980","3.8130","3.7110","-0.41%"
"Dec 20, 2022","3.7941","3.7190","3.8200","3.7040","2.01%"
"Dec 19, 2022","3.7194","3.6540","3.7280","3.6260","1.75%"
"Dec 18, 2022","3.6553","3.6450","3.6553","3.6450","0.91%"
"Dec 16, 2022","3.6225","3.6320","3.7200","3.5980","0.04%"
"Dec 15, 2022","3.6212","3.6330","3.6730","3.5970","0.14%"
"Dec 14, 2022","3.6162","3.6470","3.7160","3.5970","-0.81%"
"Dec 13, 2022","3.6456","3.7840","3.7930","3.5560","-3.84%"
"Dec 12, 2022","3.7911","3.7830","3.8170","3.7170","0.23%"
"Dec 11, 2022","3.7825","3.7808","3.7825","3.7808","0.28%"
"Dec 09, 2022","3.7721","3.7100","3.7790","3.6600","1.62%"
"Dec 08, 2022","3.7118","3.6380","3.7260","3.6360","2.32%"
"Dec 07, 2022","3.6275","3.7590","3.7690","3.6070","-3.27%"
"Dec 06, 2022","3.7500","3.7880","3.8090","3.7240","-1.01%"
"Dec 05, 2022","3.7881","3.6880","3.8090","3.6860","2.71%"
"Dec 04, 2022","3.6881","3.6915","3.6915","3.6881","0.80%"
"Dec 02, 2022","3.6588","3.6710","3.8210","3.6350","-0.20%"
"Dec 01, 2022","3.6661","3.7490","3.7920","3.6590","-2.29%"
"Nov 30, 2022","3.7522","3.9240","3.9990","3.7380","-4.41%"
"Nov 29, 2022","3.9254","3.8850","3.9410","3.8350","1.35%"
"Nov 28, 2022","3.8733","3.8700","3.9030","3.8140","0.05%"
"Nov 27, 2022","3.8715","3.8750","3.8750","3.8715","0.04%"
"Nov 25, 2022","3.8698","3.8400","3.9510","3.8300","0.72%"
"Nov 24, 2022","3.8421","3.8386","3.8421","3.8386","-0.89%"
"Nov 23, 2022","3.8767","3.9460","4.0020","3.8750","-1.81%"
"Nov 22, 2022","3.9480","3.9880","3.9880","3.9290","-1.89%"
"Nov 21, 2022","4.0242","3.9980","4.0300","3.9440","0.70%"
"Nov 20, 2022","3.9962","3.9980","3.9980","3.9962","-0.31%"
"Nov 18, 2022","4.0085","3.9540","4.0120","3.9140","1.81%"
"Nov 17, 2022","3.9371","3.8540","3.9630","3.8330","2.16%"
"Nov 16, 2022","3.8537","3.8960","3.9670","3.8260","-1.21%"
"Nov 15, 2022","3.9008","4.0020","4.0110","3.8640","-2.36%"
"Nov 14, 2022","3.9950","4.0140","4.0370","3.9760","-0.52%"
"Nov 13, 2022","4.0160","4.0178","4.0178","4.0160","2.04%"
"Nov 10, 2022","3.9358","4.2340","4.2840","3.9310","-7.27%"
"Nov 09, 2022","4.2444","4.3030","4.3420","4.2270","-1.23%"
"Nov 08, 2022","4.2973","4.3980","4.4210","4.2960","-2.22%"
"Nov 07, 2022","4.3947","4.3400","4.4020","4.3200","1.23%"
"Nov 06, 2022","4.3414","4.3344","4.3414","4.3344","0.24%"
"Nov 04, 2022","4.3308","4.3820","4.4550","4.2940","-0.81%"
"Nov 03, 2022","4.3660","4.3170","4.4390","4.2920","1.44%"
"Nov 02, 2022","4.3040","4.2640","4.3230","4.1460","0.74%"
"Nov 01, 2022","4.2722","4.2370","4.2760","4.1020","1.00%"
"Oct 31, 2022","4.2300","4.2000","4.2850","4.2000","0.67%"
